Vivado Simulator 2018.2
Time resolution is 1 ps
=== Starting testbench ===
t=10465000 state=01011 path_valid=0 saved=1 path_idx=  0 path_len=0000000 flat_x=ffffff flat_y=ffffff, path_lenl=0000000 flat_xl=xxxxxx flat_yl=xxxxxx, path_x=xxxxxxxxxxxxxxxx, path_y=xxxxxxxxxxxxxxxx
t=10485000 state=01000 path_valid=0 saved=1 path_idx=  0 path_len=0000000 flat_x=ffffff flat_y=ffffff, path_lenl=0000000 flat_xl=xxxxxx flat_yl=xxxxxx, path_x=xxxxxxxxxxxxxxxx, path_y=xxxxxxxxxxxxxxxx
t=10505000 state=01001 path_valid=0 saved=1 path_idx=  0 path_len=0000000 flat_x=ffffff flat_y=ffffff, path_lenl=0000000 flat_xl=xxxxxx flat_yl=xxxxxx, path_x=xxxxxxxxxxxxxxxx, path_y=xxxxxxxxxxxxxxxx
t=10525000 state=01011 path_valid=0 saved=1 path_idx=  0 path_len=0000000 flat_x=ffffff flat_y=ffffff, path_lenl=0000000 flat_xl=xxxxxx flat_yl=xxxxxx, path_x=xxxxxxxxxxxxxxxx, path_y=xxxxxxxxxxxxxxxx
t=10545000 state=01000 path_valid=0 saved=1 path_idx=  0 path_len=0000000 flat_x=ffffff flat_y=ffffff, path_lenl=0000000 flat_xl=xxxxxx flat_yl=xxxxxx, path_x=xxxxxxxxxxxxxxxx, path_y=xxxxxxxxxxxxxxxx
t=10565000 state=01001 path_valid=0 saved=1 path_idx=  0 path_len=0000000 flat_x=ffffff flat_y=ffffff, path_lenl=0000000 flat_xl=xxxxxx flat_yl=xxxxxx, path_x=xxxxxxxxxxxxxxxx, path_y=xxxxxxxxxxxxxxxx
t=10585000 state=01010 path_valid=0 saved=1 path_idx=  0 path_len=0000000 flat_x=ffffff flat_y=ffffff, path_lenl=0000000 flat_xl=xxxxxx flat_yl=xxxxxx, path_x=xxxxxxxxxxxxxxxx, path_y=xxxxxxxxxxxxxxxx
t=10605000 state=10001 path_valid=0 saved=1 path_idx=  0 path_len=0000000 flat_x=ffffff flat_y=ffffff, path_lenl=0000000 flat_xl=xxxxxx flat_yl=xxxxxx, path_x=xxxxxxxxxxxxxxxx, path_y=xxxxxxxxxxxxxxxx
t=10625000 state=10010 path_valid=0 saved=1 path_idx=  0 path_len=0000000 flat_x=ffffff flat_y=ffffff, path_lenl=0000000 flat_xl=xxxxxx flat_yl=xxxxxx, path_x=xxxxxxxxxxxxxxxx, path_y=xxxxxxxxxxxxxxxx
t=10645000 state=10010 path_valid=0 saved=1 path_idx=  0 path_len=0000000 flat_x=fffff1 flat_y=fffff1, path_lenl=0000000 flat_xl=xxxxxx flat_yl=xxxxxx, path_x=xxxxxxxxxxxxxxxx, path_y=xxxxxxxxxxxxxxxx
